timestamp,mac,cpu,ram,disco,qtd_processos,alerta_cpu,alerta_ram,alerta_disco,nivel
2025-10-07 12:01:45,TOTEM05,37.2%,55.6%,76.6%,191,NAO,NAO,NAO,OK
2025-10-07 12:40:45,TOTEM01,92.5%,92.1%,76.9%,160,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:48:45,TOTEM08,97.4%,88.8%,95.8%,227,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:41:00,TOTEM03,95.8%,15.0%,95.0%,128,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:34:45,TOTEM13,90.0%,39.9%,55.8%,231,SIM,NAO,NAO,ATENCAO
2025-10-07 12:46:30,TOTEM28,93.4%,84.4%,98.8%,209,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:21:30,TOTEM04,59.2%,47.3%,92.9%,140,NAO,NAO,SIM,ATENCAO
2025-10-07 12:04:30,TOTEM08,42.4%,50.0%,20.0%,91,NAO,NAO,NAO,OK
2025-10-07 12:05:30,TOTEM28,65.5%,46.5%,66.5%,235,NAO,NAO,NAO,OK
2025-10-07 12:27:15,TOTEM25,85.2%,31.7%,13.4%,205,SIM,NAO,NAO,ATENCAO
2025-10-07 12:23:00,TOTEM20,85.4%,38.0%,62.2%,100,SIM,NAO,NAO,ATENCAO
2025-10-07 12:04:15,TOTEM07,18.1%,32.6%,6.1%,176,NAO,NAO,NAO,OK
2025-10-07 12:44:00,TOTEM03,38.0%,84.6%,93.1%,120,NAO,SIM,SIM,PERIGOSO
2025-10-07 12:16:30,TOTEM07,53.5%,45.5%,68.0%,244,NAO,NAO,NAO,OK
2025-10-07 12:14:00,TOTEM39,69.4%,29.1%,38.6%,172,NAO,NAO,NAO,OK
2025-10-07 12:26:45,TOTEM28,27.1%,89.0%,51.9%,113,NAO,SIM,NAO,ATENCAO
2025-10-07 12:43:45,TOTEM38,85.7%,52.2%,91.7%,227,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:17:45,TOTEM31,34.6%,46.9%,8.4%,81,NAO,NAO,NAO,OK
2025-10-07 12:36:15,TOTEM02,86.5%,55.0%,96.8%,104,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:29:00,TOTEM01,30.4%,59.3%,94.5%,147,NAO,NAO,SIM,ATENCAO
2025-10-07 12:00:00,TOTEM03,29.0%,50.4%,12.2%,233,NAO,NAO,NAO,OK
2025-10-07 12:44:30,TOTEM01,91.7%,93.3%,20.8%,235,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:37:15,TOTEM34,94.0%,61.7%,92.3%,117,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:35:00,TOTEM34,89.9%,5.5%,96.5%,233,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:24:30,TOTEM08,47.0%,84.0%,46.0%,186,NAO,SIM,NAO,ATENCAO
2025-10-07 12:04:45,TOTEM06,47.1%,9.8%,57.8%,116,NAO,NAO,NAO,OK
2025-10-07 12:38:15,TOTEM26,86.1%,95.9%,72.8%,179,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:39:00,TOTEM11,42.2%,91.7%,91.0%,173,NAO,SIM,SIM,PERIGOSO
2025-10-07 12:40:15,TOTEM29,59.0%,92.6%,96.6%,148,NAO,SIM,SIM,PERIGOSO
2025-10-07 12:10:30,TOTEM34,7.5%,9.2%,60.2%,106,NAO,NAO,NAO,OK
2025-10-07 12:14:15,TOTEM06,12.1%,13.3%,36.2%,169,NAO,NAO,NAO,OK
2025-10-07 12:23:45,TOTEM14,59.4%,11.6%,95.1%,189,NAO,NAO,SIM,ATENCAO
2025-10-07 12:31:00,TOTEM27,92.7%,20.9%,60.2%,195,SIM,NAO,NAO,ATENCAO
2025-10-07 12:07:15,TOTEM17,69.5%,59.1%,12.9%,211,NAO,NAO,NAO,OK
2025-10-07 12:45:15,TOTEM40,89.5%,87.9%,98.9%,192,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:47:15,TOTEM13,91.9%,92.4%,97.9%,119,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:28:15,TOTEM15,21.6%,84.0%,23.7%,197,NAO,SIM,NAO,ATENCAO
2025-10-07 12:35:45,TOTEM38,67.6%,85.0%,98.9%,110,NAO,SIM,SIM,PERIGOSO
2025-10-07 12:02:00,TOTEM03,28.3%,46.9%,70.5%,119,NAO,NAO,NAO,OK
2025-10-07 12:39:45,TOTEM29,83.8%,90.1%,53.5%,235,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:19:15,TOTEM14,10.8%,11.1%,67.1%,159,NAO,NAO,NAO,OK
2025-10-07 12:35:30,TOTEM16,89.3%,64.4%,96.2%,153,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:17:30,TOTEM23,47.4%,41.0%,35.3%,123,NAO,NAO,NAO,OK
2025-10-07 12:02:45,TOTEM17,60.7%,30.1%,58.4%,103,NAO,NAO,NAO,OK
2025-10-07 12:21:45,TOTEM30,17.3%,87.3%,20.8%,220,NAO,SIM,NAO,ATENCAO
2025-10-07 12:31:45,TOTEM26,91.6%,41.2%,34.3%,235,SIM,NAO,NAO,ATENCAO
2025-10-07 12:49:30,TOTEM28,97.7%,92.4%,95.0%,176,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:01:00,TOTEM12,62.8%,38.9%,12.7%,229,NAO,NAO,NAO,OK
2025-10-07 12:30:45,TOTEM07,52.9%,54.3%,92.9%,82,NAO,NAO,SIM,ATENCAO
2025-10-07 12:41:30,TOTEM38,89.4%,38.6%,96.1%,222,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:09:00,TOTEM07,48.4%,57.5%,54.3%,137,NAO,NAO,NAO,OK
2025-10-07 12:05:15,TOTEM31,53.5%,36.6%,46.2%,189,NAO,NAO,NAO,OK
2025-10-07 12:49:45,TOTEM02,86.2%,94.0%,95.2%,156,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:49:15,TOTEM30,95.7%,89.1%,93.8%,133,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:46:15,TOTEM21,90.2%,87.8%,94.2%,226,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:06:15,TOTEM05,14.1%,57.3%,31.9%,173,NAO,NAO,NAO,OK
2025-10-07 12:12:15,TOTEM07,66.8%,38.1%,58.0%,221,NAO,NAO,NAO,OK
2025-10-07 12:01:15,TOTEM04,63.4%,26.5%,44.7%,192,NAO,NAO,NAO,OK
2025-10-07 12:20:15,TOTEM13,95.0%,6.4%,65.5%,134,SIM,NAO,NAO,ATENCAO
2025-10-07 12:15:45,TOTEM25,23.4%,30.4%,68.9%,226,NAO,NAO,NAO,OK
2025-10-07 12:11:30,TOTEM26,27.9%,56.6%,21.2%,111,NAO,NAO,NAO,OK
2025-10-07 12:01:30,TOTEM11,62.0%,22.4%,59.6%,234,NAO,NAO,NAO,OK
2025-10-07 12:36:45,TOTEM11,95.8%,88.2%,57.5%,232,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:15:15,TOTEM34,38.8%,61.9%,22.2%,141,NAO,NAO,NAO,OK
2025-10-07 12:41:45,TOTEM37,94.5%,84.7%,15.3%,122,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:27:45,TOTEM23,29.7%,45.4%,94.5%,237,NAO,NAO,SIM,ATENCAO
2025-10-07 12:17:15,TOTEM19,15.6%,59.3%,49.6%,102,NAO,NAO,NAO,OK
2025-10-07 12:17:00,TOTEM27,47.1%,62.9%,20.6%,178,NAO,NAO,NAO,OK
2025-10-07 12:34:15,TOTEM11,83.5%,64.6%,22.2%,103,SIM,NAO,NAO,ATENCAO
2025-10-07 12:31:30,TOTEM34,85.6%,59.0%,68.3%,149,SIM,NAO,NAO,ATENCAO
2025-10-07 12:03:00,TOTEM14,65.8%,31.2%,49.6%,184,NAO,NAO,NAO,OK
2025-10-07 12:15:00,TOTEM22,50.8%,5.9%,30.1%,155,NAO,NAO,NAO,OK
2025-10-07 12:33:45,TOTEM35,18.0%,85.8%,15.4%,248,NAO,SIM,NAO,ATENCAO
2025-10-07 12:27:30,TOTEM12,87.2%,29.3%,6.6%,114,SIM,NAO,NAO,ATENCAO
2025-10-07 12:43:00,TOTEM37,90.0%,86.5%,22.5%,230,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:25:00,TOTEM07,19.8%,22.9%,95.9%,151,NAO,NAO,SIM,ATENCAO
2025-10-07 12:23:15,TOTEM39,27.6%,90.6%,77.3%,161,NAO,SIM,NAO,ATENCAO
2025-10-07 12:43:30,TOTEM06,39.4%,92.2%,92.0%,157,NAO,SIM,SIM,PERIGOSO
2025-10-07 12:38:45,TOTEM22,96.0%,33.3%,95.7%,201,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:13:45,TOTEM17,8.0%,15.8%,33.6%,219,NAO,NAO,NAO,OK
2025-10-07 12:48:00,TOTEM21,94.0%,96.5%,99.0%,124,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:09:15,TOTEM17,45.6%,25.9%,65.0%,185,NAO,NAO,NAO,OK
2025-10-07 12:25:30,TOTEM03,60.4%,17.3%,94.7%,225,NAO,NAO,SIM,ATENCAO
2025-10-07 12:12:00,TOTEM29,44.0%,22.3%,42.1%,184,NAO,NAO,NAO,OK
2025-10-07 12:24:00,TOTEM37,69.7%,38.3%,93.7%,81,NAO,NAO,SIM,ATENCAO
2025-10-07 12:47:45,TOTEM31,97.9%,91.7%,96.2%,89,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:08:45,TOTEM06,18.7%,7.8%,34.8%,108,NAO,NAO,NAO,OK
2025-10-07 12:29:15,TOTEM10,54.3%,90.0%,56.0%,215,NAO,SIM,NAO,ATENCAO
2025-10-07 12:36:00,TOTEM17,82.4%,90.7%,68.4%,132,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:26:15,TOTEM11,85.4%,43.4%,10.5%,100,SIM,NAO,NAO,ATENCAO
2025-10-07 12:02:30,TOTEM09,62.5%,26.9%,58.8%,207,NAO,NAO,NAO,OK
2025-10-07 12:20:30,TOTEM18,7.2%,87.0%,38.8%,245,NAO,SIM,NAO,ATENCAO
2025-10-07 12:13:00,TOTEM34,5.5%,63.9%,23.7%,160,NAO,NAO,NAO,OK
2025-10-07 12:47:30,TOTEM32,82.6%,84.3%,95.4%,151,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:12:45,TOTEM02,53.5%,60.8%,53.8%,119,NAO,NAO,NAO,OK
2025-10-07 12:09:45,TOTEM02,63.7%,16.6%,70.0%,99,NAO,NAO,NAO,OK
2025-10-07 12:16:45,TOTEM23,67.8%,20.7%,73.1%,236,NAO,NAO,NAO,OK
2025-10-07 12:08:00,TOTEM32,52.0%,34.1%,11.6%,219,NAO,NAO,NAO,OK
2025-10-07 12:35:15,TOTEM02,88.4%,45.2%,95.8%,161,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:13:30,TOTEM08,47.5%,6.9%,64.9%,148,NAO,NAO,NAO,OK
2025-10-07 12:29:30,TOTEM13,60.1%,48.3%,93.3%,93,NAO,NAO,SIM,ATENCAO
2025-10-07 12:10:15,TOTEM26,25.4%,11.7%,11.5%,82,NAO,NAO,NAO,OK
2025-10-07 12:02:15,TOTEM37,33.8%,7.5%,5.2%,111,NAO,NAO,NAO,OK
2025-10-07 12:33:00,TOTEM21,17.6%,53.3%,91.8%,227,NAO,NAO,SIM,ATENCAO
2025-10-07 12:32:15,TOTEM24,85.0%,39.1%,32.7%,176,SIM,NAO,NAO,ATENCAO
2025-10-07 12:46:00,TOTEM39,93.8%,90.9%,94.9%,96,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:00:45,TOTEM09,42.4%,29.5%,8.7%,95,NAO,NAO,NAO,OK
2025-10-07 12:16:15,TOTEM37,21.2%,57.0%,65.6%,195,NAO,NAO,NAO,OK
2025-10-07 12:09:30,TOTEM27,18.3%,33.4%,67.5%,204,NAO,NAO,NAO,OK
2025-10-07 12:33:30,TOTEM26,86.0%,53.8%,43.3%,117,SIM,NAO,NAO,ATENCAO
2025-10-07 12:38:00,TOTEM31,92.6%,35.0%,91.7%,250,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:32:30,TOTEM38,82.1%,46.4%,48.3%,250,SIM,NAO,NAO,ATENCAO
2025-10-07 12:07:45,TOTEM26,41.5%,40.3%,76.5%,82,NAO,NAO,NAO,OK
2025-10-07 12:34:00,TOTEM18,93.9%,45.3%,8.7%,122,SIM,NAO,NAO,ATENCAO
2025-10-07 12:22:15,TOTEM20,36.2%,91.1%,50.5%,82,NAO,SIM,NAO,ATENCAO
2025-10-07 12:34:30,TOTEM15,52.9%,82.7%,75.6%,233,NAO,SIM,NAO,ATENCAO
2025-10-07 12:11:00,TOTEM19,52.5%,6.9%,5.8%,85,NAO,NAO,NAO,OK
2025-10-07 12:47:00,TOTEM05,83.4%,82.8%,92.1%,107,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:10:00,TOTEM29,58.5%,67.9%,54.1%,214,NAO,NAO,NAO,OK
2025-10-07 12:36:30,TOTEM19,85.1%,55.6%,94.6%,143,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:08:30,TOTEM21,60.6%,31.9%,9.4%,242,NAO,NAO,NAO,OK
2025-10-07 12:49:00,TOTEM20,84.5%,97.2%,96.4%,149,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:06:00,TOTEM13,21.7%,36.6%,39.7%,156,NAO,NAO,NAO,OK
2025-10-07 12:18:30,TOTEM23,66.9%,37.9%,67.6%,224,NAO,NAO,NAO,OK
2025-10-07 12:40:00,TOTEM38,86.7%,94.1%,23.3%,227,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:24:15,TOTEM02,82.3%,39.3%,39.4%,141,SIM,NAO,NAO,ATENCAO
2025-10-07 12:39:15,TOTEM29,66.8%,91.0%,96.6%,132,NAO,SIM,SIM,PERIGOSO
2025-10-07 12:14:30,TOTEM18,43.6%,49.9%,79.5%,224,NAO,NAO,NAO,OK
2025-10-07 12:32:00,TOTEM37,68.1%,52.5%,93.5%,116,NAO,NAO,SIM,ATENCAO
2025-10-07 12:05:45,TOTEM02,10.7%,55.1%,53.9%,128,NAO,NAO,NAO,OK
2025-10-07 12:42:00,TOTEM16,88.4%,94.6%,39.3%,109,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:43:15,TOTEM06,95.8%,89.6%,29.0%,120,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:28:30,TOTEM24,58.8%,91.8%,55.8%,240,NAO,SIM,NAO,ATENCAO
2025-10-07 12:45:00,TOTEM17,94.1%,82.6%,98.8%,217,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:37:45,TOTEM13,93.2%,61.4%,93.2%,188,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:20:00,TOTEM18,89.6%,19.1%,66.1%,196,SIM,NAO,NAO,ATENCAO
2025-10-07 12:24:45,TOTEM16,46.3%,45.8%,92.7%,176,NAO,NAO,SIM,ATENCAO
2025-10-07 12:41:15,TOTEM28,94.8%,90.2%,46.1%,181,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:08:15,TOTEM28,10.3%,26.5%,8.2%,222,NAO,NAO,NAO,OK
2025-10-07 12:23:30,TOTEM02,39.2%,53.8%,96.9%,234,NAO,NAO,SIM,ATENCAO
2025-10-07 12:29:45,TOTEM03,57.1%,91.0%,11.9%,188,NAO,SIM,NAO,ATENCAO
2025-10-07 12:39:30,TOTEM38,94.1%,93.5%,29.7%,195,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:06:45,TOTEM12,43.6%,39.3%,8.6%,126,NAO,NAO,NAO,OK
2025-10-07 12:42:45,TOTEM01,88.6%,93.4%,59.2%,125,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:06:30,TOTEM07,25.1%,56.7%,22.7%,198,NAO,NAO,NAO,OK
2025-10-07 12:22:00,TOTEM38,37.7%,38.0%,93.1%,98,NAO,NAO,SIM,ATENCAO
2025-10-07 12:14:45,TOTEM23,14.8%,20.9%,18.8%,245,NAO,NAO,NAO,OK
2025-10-07 12:04:00,TOTEM33,13.4%,54.7%,16.6%,81,NAO,NAO,NAO,OK
2025-10-07 12:18:15,TOTEM36,39.5%,44.5%,12.6%,153,NAO,NAO,NAO,OK
2025-10-07 12:33:15,TOTEM30,8.9%,21.2%,91.7%,150,NAO,NAO,SIM,ATENCAO
2025-10-07 12:40:30,TOTEM23,84.0%,14.2%,94.1%,85,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:42:30,TOTEM11,84.2%,68.7%,95.1%,184,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:45:30,TOTEM16,84.6%,83.0%,97.3%,153,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:11:45,TOTEM27,12.1%,28.2%,77.1%,107,NAO,NAO,NAO,OK
2025-10-07 12:07:00,TOTEM20,16.6%,66.0%,49.2%,128,NAO,NAO,NAO,OK
2025-10-07 12:07:30,TOTEM24,54.2%,21.6%,16.6%,212,NAO,NAO,NAO,OK
2025-10-07 12:48:30,TOTEM05,92.2%,96.7%,93.6%,190,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:28:45,TOTEM39,5.5%,95.0%,10.3%,216,NAO,SIM,NAO,ATENCAO
2025-10-07 12:03:30,TOTEM15,19.1%,29.9%,79.2%,137,NAO,NAO,NAO,OK
2025-10-07 12:26:00,TOTEM22,91.8%,12.6%,6.6%,222,SIM,NAO,NAO,ATENCAO
2025-10-07 12:21:15,TOTEM38,63.0%,85.3%,58.4%,176,NAO,SIM,NAO,ATENCAO
2025-10-07 12:19:00,TOTEM03,67.3%,14.8%,51.5%,214,NAO,NAO,NAO,OK
2025-10-07 12:38:30,TOTEM17,46.1%,94.4%,98.3%,239,NAO,SIM,SIM,PERIGOSO
2025-10-07 12:03:15,TOTEM21,55.9%,17.2%,60.3%,93,NAO,NAO,NAO,OK
2025-10-07 12:37:30,TOTEM40,92.4%,50.4%,93.7%,170,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:10:45,TOTEM36,6.5%,50.5%,48.4%,175,NAO,NAO,NAO,OK
2025-10-07 12:05:00,TOTEM21,46.6%,23.6%,55.1%,156,NAO,NAO,NAO,OK
2025-10-07 12:25:15,TOTEM20,81.5%,24.5%,30.8%,230,SIM,NAO,NAO,ATENCAO
2025-10-07 12:25:45,TOTEM35,6.9%,17.9%,95.0%,189,NAO,NAO,SIM,ATENCAO
2025-10-07 12:20:45,TOTEM39,91.4%,59.2%,49.4%,250,SIM,NAO,NAO,ATENCAO
2025-10-07 12:28:00,TOTEM17,36.2%,63.0%,93.2%,108,NAO,NAO,SIM,ATENCAO
2025-10-07 12:46:45,TOTEM22,86.6%,94.1%,92.4%,157,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:18:45,TOTEM11,41.9%,64.6%,56.3%,212,NAO,NAO,NAO,OK
2025-10-07 12:32:45,TOTEM23,55.2%,63.9%,97.2%,177,NAO,NAO,SIM,ATENCAO
2025-10-07 12:31:15,TOTEM25,43.5%,93.4%,8.6%,124,NAO,SIM,NAO,ATENCAO
2025-10-07 12:16:00,TOTEM21,59.3%,20.5%,14.9%,94,NAO,NAO,NAO,OK
2025-10-07 12:19:30,TOTEM17,34.5%,7.1%,10.4%,111,NAO,NAO,NAO,OK
2025-10-07 12:19:45,TOTEM01,49.9%,19.7%,48.7%,249,NAO,NAO,NAO,OK
