timestamp,mac,processo,cpu,ram,disco,alerta_processo,motivo,tipo_alerta
2025-10-07 12:03:09,TOTEM07,vscode,10.6%,10.9%,55.0%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:06:25,TOTEM38,spotify,12.3%,5.9%,6.8%,NAO,-,-
2025-10-07 12:02:55,TOTEM17,code,14.7%,66.7%,48.1%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:04:54,TOTEM07,discord,7.8%,5.0%,64.8%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:04:47,TOTEM03,java,39.3%,4.9%,9.8%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:02:06,TOTEM28,miner_helper,21.3%,7.6%,11.3%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:05:29,TOTEM32,python.exe,40.8%,2.6%,5.1%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:03:02,TOTEM15,Xorg,14.5%,14.4%,49.1%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:09:41,TOTEM26,code,23.0%,10.5%,10.2%,NAO,-,-
2025-10-07 12:10:44,TOTEM37,code,20.0%,8.7%,12.8%,NAO,-,-
2025-10-07 12:09:27,TOTEM33,git,19.5%,5.9%,5.2%,NAO,-,-
2025-10-07 12:11:26,TOTEM03,explorer.exe,4.6%,14.5%,7.5%,NAO,-,-
2025-10-07 12:09:55,TOTEM40,redis-server,18.8%,4.8%,13.9%,NAO,-,-
2025-10-07 12:01:10,TOTEM21,miner_helper,73.6%,51.1%,58.0%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:10:16,TOTEM17,node,22.1%,2.6%,12.5%,NAO,-,-
2025-10-07 12:03:30,TOTEM17,explorer.exe,41.6%,36.4%,2.3%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:08:45,TOTEM24,postgres,17.7%,5.6%,3.4%,NAO,-,-
2025-10-07 12:00:56,TOTEM21,miner,65.9%,38.6%,60.4%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:03:16,TOTEM15,redis-server,9.0%,6.2%,41.2%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:11:12,TOTEM38,node,6.4%,11.3%,12.2%,NAO,-,-
2025-10-07 12:07:14,TOTEM17,discord,23.8%,8.3%,4.8%,NAO,-,-
2025-10-07 12:03:51,TOTEM33,code,22.0%,3.9%,40.2%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:03:23,TOTEM32,vscode,22.1%,7.0%,28.5%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:05:36,TOTEM16,node,19.5%,51.4%,13.0%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:01:31,TOTEM17,cryptominer.exe,16.6%,11.8%,6.1%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:10:09,TOTEM04,redis-server,18.7%,8.4%,9.2%,NAO,-,-
2025-10-07 12:04:19,TOTEM15,git,2.8%,32.6%,69.2%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:10:30,TOTEM26,python.exe,23.4%,13.1%,11.0%,NAO,-,-
2025-10-07 12:09:20,TOTEM18,Xorg,9.1%,5.8%,6.9%,NAO,-,-
2025-10-07 12:06:18,TOTEM24,python.exe,16.9%,11.9%,7.3%,NAO,-,-
2025-10-07 12:02:27,TOTEM28,miner,17.4%,2.7%,10.8%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:06:39,TOTEM13,code,7.3%,6.2%,14.3%,NAO,-,-
2025-10-07 12:02:13,TOTEM28,miner_helper,8.6%,6.9%,10.2%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:05:43,TOTEM32,git,2.3%,10.3%,8.6%,NAO,-,-
2025-10-07 12:09:06,TOTEM35,node,15.0%,11.1%,8.2%,NAO,-,-
2025-10-07 12:00:00,TOTEM14,xmrig,57.8%,50.7%,57.1%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:00:49,TOTEM38,xmrig,38.3%,50.8%,45.5%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:05:08,TOTEM02,javaw.exe,7.8%,66.7%,50.3%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:02:34,TOTEM03,spotify,18.0%,61.3%,3.2%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:07:21,TOTEM10,spotify,13.8%,14.4%,2.2%,NAO,-,-
2025-10-07 12:10:51,TOTEM05,discord,12.7%,11.9%,8.7%,NAO,-,-
2025-10-07 12:04:12,TOTEM17,Xorg,74.5%,7.5%,31.5%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:00:21,TOTEM38,miner,78.0%,32.2%,38.8%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:11:19,TOTEM40,Xorg,20.5%,12.6%,6.5%,NAO,-,-
2025-10-07 12:06:11,TOTEM29,node,7.8%,12.6%,9.8%,NAO,-,-
2025-10-07 12:01:38,TOTEM37,miner,4.2%,4.5%,5.6%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:04:05,TOTEM16,sshd,45.4%,6.9%,7.3%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:08:10,TOTEM04,spotify,17.0%,8.4%,9.4%,NAO,-,-
2025-10-07 12:00:42,TOTEM38,miner,74.1%,53.2%,40.6%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:05:15,TOTEM15,javaw.exe,14.7%,38.0%,7.4%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:07:07,TOTEM37,postgres,23.5%,7.9%,11.1%,NAO,-,-
2025-10-07 12:02:41,TOTEM02,code,19.8%,34.2%,67.4%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:00:28,TOTEM40,miner_worker,47.5%,29.7%,69.2%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:04:33,TOTEM16,java,58.4%,12.3%,6.1%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:11:33,TOTEM20,python.exe,3.1%,5.4%,7.2%,NAO,-,-
2025-10-07 12:09:48,TOTEM16,code,20.2%,13.0%,12.6%,NAO,-,-
2025-10-07 12:02:20,TOTEM24,xmrig,14.1%,4.4%,13.0%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:01:03,TOTEM36,miner_worker,56.2%,29.5%,56.1%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:03:37,TOTEM03,python.exe,62.6%,8.7%,9.6%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:08:24,TOTEM20,Teams.exe,4.3%,8.4%,5.4%,NAO,-,-
2025-10-07 12:06:46,TOTEM13,discord,20.6%,12.8%,7.9%,NAO,-,-
2025-10-07 12:07:28,TOTEM27,Teams.exe,23.3%,12.0%,2.9%,NAO,-,-
2025-10-07 12:06:32,TOTEM12,sshd,14.7%,8.3%,3.2%,NAO,-,-
2025-10-07 12:08:31,TOTEM13,spotify,2.5%,8.3%,3.5%,NAO,-,-
2025-10-07 12:01:24,TOTEM28,miner_helper,17.6%,11.5%,9.1%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:07:49,TOTEM26,node,15.4%,12.9%,4.8%,NAO,-,-
2025-10-07 12:01:59,TOTEM28,xmrig,5.4%,4.8%,10.6%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:00:07,TOTEM38,miner_helper,37.3%,65.6%,35.8%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:05:57,TOTEM24,sshd,10.0%,2.9%,2.2%,NAO,-,-
2025-10-07 12:02:48,TOTEM03,python.exe,43.4%,11.9%,4.3%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:04:26,TOTEM33,explorer.exe,39.2%,57.6%,4.4%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:10:37,TOTEM18,sshd,23.3%,13.7%,2.8%,NAO,-,-
2025-10-07 12:03:58,TOTEM16,git,75.4%,11.0%,11.2%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:10:02,TOTEM20,git,11.1%,8.8%,13.3%,NAO,-,-
2025-10-07 12:06:04,TOTEM06,postgres,18.9%,12.0%,6.9%,NAO,-,-
2025-10-07 12:09:13,TOTEM24,discord,14.8%,7.1%,10.0%,NAO,-,-
2025-10-07 12:01:52,TOTEM01,xmrig,20.7%,3.0%,14.2%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:07:00,TOTEM14,Teams.exe,20.6%,14.8%,3.3%,NAO,-,-
2025-10-07 12:10:58,TOTEM26,node,10.5%,7.6%,5.8%,NAO,-,-
2025-10-07 12:00:35,TOTEM21,miner,43.6%,64.8%,27.6%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:08:38,TOTEM20,systemd,10.5%,7.0%,3.7%,NAO,-,-
